Palavra,Frequencia
meter,194
acontecimentos,193
repente,193
ei,193
narracao,193
vocacao,193
bastava,193
pessoal,193
voltando,193
original,192
i,192
teresa,192
ouvidos,192
n,192
licenca,192
servico,192
imperador,192
seguiu,192
coelho,192
respondia,192
distancia,192
ria,191
musa,191
comercio,191
bacharel,191
esperou,191
despeito,191
cheguei,190
fernanda,190
solidao,190
deixando,190
comeca,190
gomes,190
orgulho,190
mata,190
tratou,190
livia,190
fatos,190
rosa,189
sul,189
faziam,189
lia,188
trabalhos,188
passaram,188
aconteceu,188
portanto,188
vim,188
simpatia,188
oficial,188
familias,188
servir,187
durou,187
henrique,187
tornar,187
natividade,187
real,187
divina,187
testa,186
disto,186
vasconcelos,186
esforcos,186
estrelas,186
fechou,186
festas,186
clarinha,186
pensa,185
estima,185
opinioes,185
justo,185
encontro,185
recente,185
literaria,185
metade,184
penso,184
quiser,184
vive,184
pao,184
senti,183
larga,183
indiferente,183
antonia,183
possuia,183
raro,183
estendeu,183
filosofia,183
azevedo,183
rico,183
verdadeiramente,182
fita,182
confessou,182
juiz,182
inspiracao,182
nasceu,182
ambicao,182
quisesse,181
conviccao,181
falei,181
tomas,181
criancas,181
social,180
feicoes,180
emprego,180
vozes,180
petropolis,180
proprias,180
isabel,180
aceita,178
aceitar,178
febre,178
universal,178
custa,178
fria,178
lha,178
sistema,178
sabendo,178
poe,178
melancolia,178
podemos,178
senado,178
brasileira,178
ventura,178
costa,178
estremeceu,177
prosa,177
pagar,176
carreira,176
procura,176
passagem,175
valia,175
insistiu,175
coracoes,175
apos,175
calado,175
formosa,175
condicoes,174
mudanca,174
norte,174
l,174
apertou,174
relacao,174
havera,174
mess,174
maquina,174
fluminense,174
disposto,174
faltava,174
partes,173
saint,173
daquelas,173
nove,173
sejam,173
piedade,173
espelho,172
charuto,172
discursos,172
encontrou,172
nuvens,172
contente,172
alfredo,172
madalena,172
processo,172
velhas,172
sensacao,172
parentes,172
namorados,172
pedindo,171
aurora,171
mortos,171
borba,171
dissesse,170
pensando,170
preco,170
corredor,170
eugenia,170
amigas,170
neves,170
prometeu,170
sente,170
receio,170
rosas,170
felizmente,170
certos,170
minas,170
amante,170
revolucao,170
subiu,169
ursula,169
sacrificio,169
pedi,169
fome,169
daria,169
longas,169
deputados,169
tocar,169
sincera,169
novidade,168
chegava,168
escreve,168
juro,168
impressoes,168
direcao,168
cenas,167
perguntar,167
deixei,167
estudos,167
troca,167
politicos,167
morava,166
quincas,166
supor,166
satisfacao,166
data,166
encontrar,166
campos,166
declaracao,166
roupa,166
romualdo,166
admira,166
ordens,166
rara,165
gestos,165
serao,165
rui,165
escravo,165
pinheiro,165
paixoes,165
dramatica,165
damas,164
som,164
pobres,164
junto,164
jogo,164
composicao,164
paris,164
tivera,163
humanidade,163
vela,163
observou,163
praca,163
torna,163
cruel,163
deviam,163
beneficio,162
tras,162
entrando,162
fina,162
sob,162
atirou,162
aplausos,162
toma,162
sara,162
inteira,162
voltava,162
cocheiro,161
brilhante,161
rosinha,161
finado,161
vulgar,161
recebe,161
descer,161
cerebro,160
jamais,160
estrada,160
leitora,160
bater,160
candido,160
continuar,160
aparece,159
diziam,159
venancio,159
haviam,159
respondi,159
durval,159
dirigiu,159
viram,159
curioso,159
atraves,159
cai,159
comprar,159
ardente,158
algibeira,158
existe,158
dira,158
conversar,158
politicas,158
alvarez,158
influencia,158
terror,158
horizonte,158
licao,157
certamente,157
onze,157
maio,157
caixa,157
papai,157
esqueceu,157
c,157
lido,156
po,156
venho,156
final,156
formas,156
explica,156
ouve,156
descobrir,155
animal,155
francamente,155
chegaram,155
explicou,155
imediatamente,155
cemiterio,155
querem,155
orador,155
tristes,155
passando,155
chegando,155
onda,155
completamente,154
tempestade,154
parecem,154
dialogo,154
acompanhou,154
porto,154
acordou,154
linha,154
madrinha,154
espero,154
francisco,154
vindo,154
alberto,154
ginasio,154
filosofo,153
mathilde,153
atual,153
sairam,153
paula,153
intimidade,153
sincero,153
rochedo,153
proximo,153
tornava,153
frances,153
angela,153
armas,153
recusa,152
partida,152
graves,152
revista,152
confissao,152
mostra,152
tiveram,152
eternidade,152
parar,152
baixa,151
merece,151
crise,151
cadaver,151
despediu,151
vergonha,151
possui,151
deixara,150
origem,150
vantagem,150
franqueza,150
pecas,150
dentes,150
aparecer,150
eleicao,150
necessaria,150
continuava,150
termos,150
entraram,150
serem,149
fenomeno,149
virtudes,149
religiao,149
queda,149
roca,149
compreende,149
desejos,149
moleque,149
casado,148
tranquilo,148
valenca,148
literatura,148
procurar,148
morre,148
nacao,147
qualidade,147
modos,147
abril,147
prata,147
multidao,147
demora,146
viria,146
deitou,146
cre,146
macedo,146
olho,146
reparou,146
ares,146
estrela,145
educacao,145
rival,145
retirou,145
inveja,145
doutrina,145
belos,145
facilmente,145
fatal,145
lirico,145
paga,145
autoridade,144
companheiro,144
casal,144
tratar,144
escritor,144
fernando,144
bento,144
caracteres,144
nestas,144
alencar,144
defunto,144
dissera,144
lendo,144
has,144
recusou,144
desconhecido,144
valadares,144
sublime,143
regra,143
ouvira,143
incidente,143
desdem,143
carne,143
senhores,143
aventura,143
pretexto,143
confessar,143
leao,143
lembrava,143
obstante,143
ingles,142
barbeiro,142
visse,142
lagrima,142
chorar,142
volume,142
brasileiro,142
melchior,142
corda,142
estranho,142
conclusao,142
academia,142
raio,142
voto,142
dada,141
ventos,141
inda,141
absolutamente,141
pedras,141
engano,141
doido,141
podes,141
perguntava,141
andrade,141
manuel,141
novembro,141
motivos,141
ilusoes,141
esquina,141
pratica,140
inglaterra,140
entendeu,140
gravidade,140
contas,140
juliao,140
ficando,140
especial,140
conforme,140
somos,140
negar,140
vivos,140
profundamente,140
casada,139
poema,139
passara,139
panca,139
aguilar,139
desejava,139
